   ,nom                         ,duree ,type ,ordre ,risk_time ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,color ,description2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,color2 ,Unnamed: 9 ,cluster ,class ,class_
10 ,3 - weekly - 6.mp4          , 5.16 , 1.0 , 11.0 ,4.2       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a pedestrian is crossing the road in front of my car, and I am unable to stop in time.
                                                                The elements involved are: my car, the pedestrian, and the road."                                                                                                                                                                                                                                                                                                                                                                                                           ,      ," Yes, I can spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The situation is that there is a pedestrian crossing the street in the same trajectory as my car. The pedestrian is not paying attention to the cars and is walking in the middle of the street. There are cars coming from both directions and the pedestrian is not aware of them.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The elements involved are the pedestrian, my car, and the oncoming cars."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,   1.0 ,           ,      0 ,no    ,pedestrian
11 ,3 - weekly - 5.mp4          , 4.78 , 1.0 , 12.0 ,1.8       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a blue car is coming in my lane, on my right side, and it is going to hit my car.
                                                                The elements involved are: my car, the blue car, and the road."                                                                                                                                                                                                                                                                                                                                                                                                             ,      ," Yes, I can spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The situation is that there is a blue car coming in the opposite direction, and it is going to hit the car that is in front of me. The blue car is going too fast and it is not going to be able to stop in time."                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,       ,           ,      0 ,no    ,car
12 ,14 controls countryside.mp4 ,16.94 , 1.0 , 13.0 ,-         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming in the opposite direction, and it is about to hit my car head-on. The elements involved are: my car, the oncoming car, and the road."                                                                                                                                                                                                                                                                                                     ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving on a country road. The road is surrounded by trees and there is no other traffic in sight. The driver is driving at a moderate speed and the road is in good condition. There are no intersections or driveways that could cause a hazard."                                                                                                                                                                                                                                                                                                                                                                                                 ,   1.0 ,           ,      1 ,no    ,no
13 ,8 - weekly 2.mp4            , 7.83 , 1.0 , 14.0 ,5.9       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming from the opposite direction, and it is about to run a red light.
                                                                The elements involved are: my car, the other car, and the intersection."                                                                                                                                                                                                                                                                                                                                                                                                    ,      ," There is a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The situation is that a car is driving in the same trajectory as the camera's car, but in the opposite direction. The two cars are on a two-lane road, with a concrete barrier in the middle. The other car is in the lane next to the camera's car, and it is trying to merge into the camera's car's lane. The camera's car is going faster than the other car, and the other car is not slowing down to merge. The two cars are getting closer and closer, and it is clear that they are going to collide.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The elements involved are the two cars."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,       ,           ,      0 ,no    ,car
14 ,15_low5_1.mp4               ,19.52 , 1.0 , 15.0 ,2         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming from the opposite direction and it is about to hit my car. The elements involved are: my car, the other car, and the road."                                                                                                                                                                                                                                                                                                               ,      ," No, I cannot spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving down a street with other cars parked on the side of the road. There are also people walking on the sidewalk. The driver is driving in the correct lane and is not speeding. There are no other cars coming in the opposite direction. The driver is not running a red light or stop sign. The driver is not making any sudden or erratic movements."                                                                                                                                                                                                                                                                                        ,   1.0 ,           ,      2 ,no    ,no
15 ,1 weekly - 3.mp4            , 8.47 , 1.0 , 16.0 ,7.6       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a pedestrian is crossing the street in front of my car, and I am not able to stop in time.
                                                                The elements involved are: my car, the pedestrian, and the street."                                                                                                                                                                                                                                                                                                                                                                                                         ,      ," Yes, I can spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The situation is that there is a pedestrian crossing the street in the middle of the block, and a van is coming from the right. The pedestrian is not paying attention to the van, and the van is not slowing down.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The elements involved are the pedestrian, the van, and the camera's car."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,   1.0 ,           ,      0 ,no    ,pedestrian
16 ,13 weekly 4.mp4             , 6.46 , 1.0 , 17.0 ,5.1       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a pedestrian is walking on the right side of the road, and she is about to cross the street. The pedestrian is not paying attention to the cars on the road, and she is walking in front of my car.
                                                                The elements involved are: my car, the pedestrian, and the road."                                                                                                                                                                                                                                                                                                                                                                                                           ,      ," Yes, I can spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The situation is that there is a pedestrian crossing the street in the same trajectory as my car. The pedestrian is walking on the right side of the road, which is the same side that cars drive on in this country. This means that the pedestrian is walking in the same direction as the cars, but on the opposite side of the road. This is a dangerous situation because the pedestrian could easily be hit by a car if the driver is not paying attention.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The elements involved in the situation are the pedestrian, the car, and the road. The pedestrian is a person who is walking on the road. The car is a vehicle that is being driven by the driver. The road is a surface that is used for driving cars.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    I need to stop my car to avoid hitting the pedestrian."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,   1.0 ,           ,      0 ,no    ,pedestrian
17 ,15_low2_3.mp4               ,19.2  , 1.0 , 18.0 ,-         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming in the opposite direction, and it is about to hit my car.
                                                                The elements involved are: my car, the other car, and the road."                                                                                                                                                                                                                                                                                                                                                                                                            ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving down a road with trees on either side. The road is wide and there is no other traffic. The driver is driving at a moderate speed and there are no hazards to be seen."                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,   1.0 ,           ,      1 ,no    ,no
18 ,5 - weekly 10.mp4           , 6.57 , 1.0 , 19.0 ,5.1       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a cyclist is riding his bicycle on the wrong side of the road, in the same direction as the traffic, and he is about to collide with my car, which is coming from the opposite direction.
                                                                The elements involved are: my car, the cyclist, and the road."                                                                                                                                                                                                                                                                                                                                                                                                              ,      ," Yes, I can spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The situation is that there is a cyclist riding his bicycle on the same trajectory as my car, but he is on the wrong side of the road. He is riding in the middle of the lane, and I am driving in the middle of my lane. If we continue on our current paths, we will collide head-on.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The elements involved are my car, the cyclist, and the road."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,   1.0 ,           ,      0 ,no    ,bicycle
19 ,14 controls suburb.mp4      ,21.08 , 1.0 , 20.0 ,-         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming towards me in the same lane, and it is about to hit me head-on.
                                                                The elements involved are: my car, the other car, and the road."                                                                                                                                                                                                                                                                                                                                                                                                            ,      ," No, I cannot spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a residential street with cars parked on both sides of the street. There are no other cars moving in the same trajectory as my car."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,   1.0 ,           ,      2 ,no    ,no
20 ,6 - weekly 3.mp4            , 7.68 , 1.0 , 21.0 ,6.1       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming from the opposite direction, and it is about to run a red light.
                                                                The elements involved are: my car, the other car, and the intersection."                                                                                                                                                                                                                                                                                                                                                                                                    ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving down a street. There are no other cars in the immediate vicinity of the camera's car. The only other elements in the video are trees, houses, and power lines."                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,       ,           ,      1 ,no    ,no
21 ,12 crashes 7.mp4            , 8.41 , 1.0 , 22.0 ,7.3       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming from the opposite direction, and it is about to hit my car.
                                                                The elements involved are: my car, the other car, and the road."                                                                                                                                                                                                                                                                                                                                                                                                            ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving down a street. There are other cars parked on the side of the street, and a few cars are driving in the opposite direction. The driver of the camera's car is driving in the left lane, and there is a car in front of him. The car in front of him is driving slowly, and the driver of the camera's car is getting closer and closer to it. The driver of the camera's car honks his horn, but the car in front of him does not move. The driver of the camera's car then swerves to the right to avoid hitting the car in front of him. The car in front of him then turns right, and the driver of the camera's car continues driving." ,       ,           ,      0 ,no    ,no
22 ,6 - weekly 6.mp4            ,11.47 , 1.0 , 23.0 ,-         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming from the opposite direction and is about to hit my car head-on. The elements involved are: my car, the oncoming car, and the road."                                                                                                                                                                                                                                                                                                       ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving down a street. There are other cars on the street, but they are all driving in their own lanes. There are no pedestrians or other obstacles in the road. The weather is clear and the road is dry."                                                                                                                                                                                                                                                                                                                                                                                                                                         ,   1.0 ,           ,      1 ,no    ,car
23 ,6 - weekly 11.mp4           , 8.68 , 1.0 , 24.0 ,7.1       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is as follows:
                                                                There is a white pickup truck in front of me, and a white car is coming in the opposite direction. The white car is driving in the lane of the white pickup truck, and it is about to hit the white pickup truck.
                                                                The elements involved in the situation are:
                                                                The white pickup truck
                                                                The white car
                                                                The road
                                                                The weather conditions (it is raining)"                                                                                                                                                                                                                                                                                                                                                                                                                                     ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving on a wet road in foggy weather. The driver is driving in the left lane and there is a white pickup truck in front of him. The white pickup truck is driving in the same lane as the driver and is going slower than the driver. The driver is following the white pickup truck at a safe distance and there are no other cars in the vicinity."                                                                                                                                                                                                                                                                                             ,       ,           ,      0 ,no    ,no
24 ,15_low3_1.mp4               ,15.91 , 1.0 , 25.0 ,-         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: the car is driving on a two-lane road, with trees on the left and right sides of the road. There is a car coming in the opposite direction, and it is about to hit my car.
                                                                The elements involved are: my car, the other car, and the trees."                                                                                                                                                                                                                                                                                                                                                                                                           ,      ," There is no situation in the video that will end in an accident. The video shows a car driving down a street with trees on either side. There are other cars on the street, but they are all driving in their own lanes and there is no indication that any of them are going to crash."                                                                                                                                                                                                                                                                                                                                                                                ,   1.0 ,           ,      2 ,no    ,car
25 ,6 - weekly 10.mp4           , 7.34 , 1.0 , 26.0 ,6.1       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is that I am driving on a road and a car is coming from the opposite direction. The car is in my lane and is about to hit me head-on.
                                                                The elements involved are my car, the other car, and the road."                                                                                                                                                                                                                                                                                                                                                                                                             ,      ," Yes, I can spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The situation is that a white car is coming from the opposite direction and it is going to hit the car that is in front of me. The elements involved are the white car, the car that is in front of me, and my car."                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,       ,           ,      0 ,no    ,car
26 ,10 controls 5.mp4           ,18.54 , 1.0 , 27.0 ,-         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming from the opposite direction and is about to hit my car. The elements involved are: my car, the other car, and the road."                                                                                                                                                                                                                                                                                                                  ,      ," No, I cannot spot a situation that will end in an accident.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving down a street with other cars parked on the side of the road. There are also people walking on the sidewalk. The driver is driving in the correct lane and is not speeding. There are no other cars coming in the opposite direction. The driver is not running a red light. The driver is not tailgating the car in front of them. The driver is not making any sudden or erratic movements."                                                                                                                                                                                                                                              ,   1.0 ,           ,      2 ,no    ,no
27 ,2 compil - 3.mp4            , 5.18 , 1.0 , 28.0 ,3         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming in the opposite direction, and it is about to hit my car.
                                                                The elements involved are: my car, the other car, and the road."                                                                                                                                                                                                                                                                                                                                                                                                            ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving down a road. The car is in the left lane and there are no other cars in the immediate vicinity. The road is straight and there are no intersections or obstacles in the way. The weather is clear and the road is dry."                                                                                                                                                                                                                                                                                                                                                                                                                     ,       ,           ,      1 ,no    ,car
28 ,6 - weekly 8.mp4            ,16.32 , 1.0 , 29.0 ,12        ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is as follows:
                                                                I am driving on a two-lane road, with one lane for each direction. There is a car coming in the opposite direction, and it is about to cross the center line into my lane.
                                                                The elements involved in the situation are:
                                                                My car
                                                                The other car
                                                                The road
                                                                The weather conditions
                                                                The other car is a blue car, and it is coming in the opposite direction. It is about to cross the center line into my lane. I am driving in a white car, and I am in the right lane. The road is a two-lane road, with one lane for each direction. The weather conditions are clear.
                                                                The situation is dangerous because the other car is about to cross the center line into my lane. If I do not take action, I will collide with the other car.
                                                                I can take the following actions to avoid the accident:
                                                                I can brake and slow down.
                                                                I can swerve to the right.
                                                                I can honk my horn.
                                                                I can flash my headlights.
                                                                I can take evasive action and drive off the road.
                                                                I decide to brake and slow down. I also decide to swerve to the right. I honk my horn and flash my headlights. The other car sees me and swerves back into its own lane. The accident is avoided."                                                                                                                                                                                                                                                                          ,      ," No, there is no situation in the video that will end in an accident where another element is in the same trajectory as the camera's car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving on a rural road. The car is driving in the left lane and there is no other traffic visible in the video. The road is straight and there are no intersections or obstacles in the way. The driver of the camera's car is not in any danger of colliding with another vehicle."                                                                                                                                                                                                                                                                                                                                                               ,       ,           ,      1 ,no    ,no
29 ,15_low6_2.mp4               ,13.67 , 1.0 , 30.0 ,-         ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a truck is coming in the opposite direction, and it is about to hit my car. The truck is in the wrong lane, and it is not slowing down.
                                                                The elements involved are: my car, the truck, and the road."                                                                                                                                                                                                                                                                                                                                                                                                                ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving on a road with two lanes in each direction. There are cars parked on the side of the road and trees and buildings in the background. The driver is driving in the right lane and there are cars in front and behind him. The driver is approaching a red light and there are cars stopped in the left lane. The driver will have to stop behind the cars in the left lane."                                                                                                                                                                                                                                                                 ,   1.0 ,           ,      0 ,no    ,no
30 ,2 compil - 7.mp4            , 7.02 , 1.0 , 31.0 ,5.8       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming from the opposite direction and is about to hit my car head-on. The elements involved are: my car, the oncoming car, and the road."                                                                                                                                                                                                                                                                                                       ,      ," No, there is no situation in the video that will end in an accident where another element is in the same trajectory as the camera's car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving on a rural road. The car is driving in the left lane and there are no other cars in the immediate vicinity. The road is straight and there are no obstacles in the way."                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,       ,           ,      1 ,no    ,no
31 ,5 - weekly 4.mp4            , 8.07 , 1.0 , 32.0 ,6.6       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming in the opposite direction, and it is about to hit my car.
                                                                The elements involved are: my car, the other car, and the road."                                                                                                                                                                                                                                                                                                                                                                                                            ,      ," No, there is no situation in the video that will end in an accident where another element is in the same trajectory as the camera's car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving down a road. There are no other cars in the immediate vicinity of the camera's car. The road is wide and there is plenty of room for the camera's car to drive safely."                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,       ,           ,      1 ,no    ,no
32 ,5 - weekly 1.mp4            ,11.9  , 1.0 , 33.0 ,9.8       ," Yes, I can spot a situation where an accident is about to occur with my car.
                                                                The situation is: a car is coming from the opposite direction, and it is about to hit my car head-on. The elements involved are: my car, the oncoming car, and the road."                                                                                                                                                                                                                                                                                                   ,      ," No, I cannot spot a situation that will end in an accident where another element is in the same trajectory as my car.
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    The video shows a car driving on a highway in the right lane. The car is going at a moderate speed and there is some traffic on the road. The car is driving behind a truck and there is a car in the left lane next to the truck. The car in the left lane is going faster than the truck and the car behind the truck. The car in the left lane is trying to pass the truck, but the truck is not moving over. The car in the left lane is getting closer and closer to the truck and it looks like it is going to hit the truck. However, the car in the left lane swerves at the last second and avoids hitting the truck."                                           ,       ,           ,      0 ,no    ,no
